Year,Gross Domestic Product,Net Domestic Product,Gross National Income,Per Capita GDP (₹),Per Capita GNI (₹),CPI_AL,CPI_IW,CPI_IW_Food
1970_71,1089226.0,1018642.0,1082340.0,20134.0,20006.0,194.0,186.0,202.0
1971_72,1107121.0,1033580.0,1100363.0,19984.0,19862.0,196.0,192.0,205.0
1972_73,1100995.0,1024654.0,1094795.0,19418.0,19309.0,217.0,207.0,223.0
1973_74,1137279.0,1057768.0,1131633.0,19608.0,19511.0,263.0,250.0,279.0
1974_75,1150759.0,1066679.0,1146339.0,19406.0,19331.0,354.0,317.0,358.0
1975_76,1256053.0,1167879.0,1252240.0,20693.0,20630.0,340.0,313.0,342.0
1976_77,1276942.0,1183431.0,1273436.0,20596.0,20539.0,293.0,301.0,317.0
1977_78,1369581.0,1272279.0,1366655.0,21602.0,21556.0,324.0,324.0,345.0
1978_79,1447819.0,1346631.0,1445029.0,22343.0,22300.0,317.0,331.0,347.0
1979_80,1371980.0,1266042.0,1371460.0,20662.0,20655.0,346.0,360.0,373.0
1980_81,1464394.0,1352935.0,1464390.0,21567.0,21567.0,395.0,401.0,419.0
1981_82,1552348.0,1435504.0,1550504.0,22433.0,22406.0,444.0,451.0,476.0
1982_83,1606304.0,1483097.0,1599940.0,22688.0,22598.0,467.0,486.0,508.0
1983_84,1723386.0,1594940.0,1716327.0,23837.0,23739.0,520.0,547.0,581.0
1984_85,1789232.0,1652453.0,1779406.0,24212.0,24079.0,521.0,582.0,122.0
1985_86,1883243.0,1738027.0,1873425.0,24944.0,24814.0,546.0,620.0,128.0
1986_87,1973197.0,1819724.0,1962251.0,25593.0,25451.0,572.0,674.0,141.0
1987_88,2051442.0,1887424.0,2036744.0,26034.0,25847.0,629.0,736.0,154.0
1988_89,2248950.0,2076931.0,2227956.0,27937.0,27676.0,708.0,423.5,135.5
1989_90,2382703.0,2200904.0,2360178.0,28987.0,28713.0,747.0,111.0,117.0
1990_91,2514549.0,2320274.0,2486353.0,29971.0,29635.0,803.0,118.0,122.0
1991_92,2541123.0,2333455.0,2511622.0,29686.0,29341.0,958.0,126.0,128.0
1992_93,2680438.0,2460959.0,2650632.0,30739.0,30397.0,1076.0,137.0,141.0
1993_94,2807779.0,2578916.0,2780663.0,31477.0,31173.0,1114.0,149.0,154.0
1994_95,2994747.0,2751458.0,2967254.0,32909.0,32607.0,1247.0,163.0,165.0
1995_96,3221584.0,2963869.0,3192013.0,34715.0,34397.0,234.0,193.0,199.0
1996_97,3464798.0,3191399.0,3436436.0,36626.0,36326.0,256.0,219.0,230.0
1997_98,3605116.0,3311048.0,3581984.0,37397.0,37158.0,264.0,240.0,254.0
1998_99,3828072.0,3513895.0,3803495.0,38943.0,38693.0,293.0,258.0,272.0
1999_00,4166694.0,3827961.0,4139292.0,41625.0,41352.0,306.0,284.0,304.0
2000_01,4326736.0,3964524.0,4286910.0,42461.0,42070.0,305.0,313.0,337.0
2001_02,4535456.0,4148620.0,4499695.0,43610.0,43266.0,309.0,342.0,369.0
2002_03,4707984.0,4299957.0,4676257.0,44583.0,44283.0,319.0,366.0,388.0
2003_04,5078049.0,4643708.0,5043422.0,47370.0,47047.0,331.0,414.0,445.0
2004_05,5480380.0,5004532.0,5442938.0,50325.0,29054.0,340.0,428.0,446.0
2005_06,5914614.0,5393302.0,5872936.0,53478.0,32604.0,353.0,444.0,453.0
2006_07,6391375.0,5819552.0,6342389.0,56964.0,37624.0,380.0,463.0,466.0
2007_08,6881007.0,6247332.0,6852740.0,60466.0,42866.0,409.0,482.0,477.0
2008_09,7093403.0,6399855.0,7052191.0,61468.0,47498.0,450.0,500.0,495.0
2009_10,7651078.0,6882477.0,7606319.0,65394.0,54089.0,513.0,520.0,506.0
2010_11,8301235.0,7462803.0,8211816.0,69994.0,63682.0,564.0,318.5,310.5
2011_12,8736329.0,7819154.0,8659505.0,71609.0,70980.0,611.0,117.0,115.0
2012_13,9213017.0,8202356.0,9104662.0,74599.0,73722.0,672.0,125.0,126.0
2013_14,9801370.0,8700760.0,9679027.0,78348.0,77370.0,750.0,133.0,136.0
2014_15,10527674.0,9349029.0,10402987.0,83091.0,82107.0,800.0,145.0,153.0
2015_16,11369493.0,10098603.0,11234571.0,88616.0,87565.0,835.0,163.0,176.0
2016_17,12308193.0,10926667.0,12163619.0,94751.0,93638.0,870.0,180.0,194.0
2017_18,13144582.0,11654661.0,12998695.0,100035.0,98925.0,889.0,195.0,206.0
2018_19,13992914.0,12378459.0,13840474.0,105448.0,104299.0,907.0,215.0,230.0
2019_20,14534641.0,12803462.0,14392900.0,108387.0,107330.0,980.0,236.0,259.0
2020_21,13694869.0,11862110.0,13493976.0,101038.0,99556.0,1034.0,251.0,276.0
2021_22,15021846.0,13066058.0,14827920.0,109762.0,108345.0,1075.0,265.0,293.0
2022_23,16164913.0,14076950.0,15939376.0,116892.0,115261.0,1148.0,276.0,305.0
2023_24,17650591.0,15421624.0,17404638.0,126528.0,124764.0,1229.0,284.0,310.0
2024_25,18796955.0,16425021.0,18523133.0,133501.0,131556.0,1299.0,300.0,312.0
